text,created_at
.@FoxNews  ï¿½ï¿½ï¿½Trump wins major victories in China and USMCA trade deals defense spending and Space Force.ï¿½ï¿½ï¿,12/17/2019 14:48
....energy independence manufacturing resilience illegal immigration coming down the Wall going up China confronted the caliphate defeated NAFTA renegotiated our military rebuilt NATO paying more regulations costing less.......and much more. This is why theyï¿½ï¿½ï¿½,12/16/2019 5:28
....energy independence manufacturing resilience illegal immigration coming down the Wall going up China confronted the caliphate defeated NAFTA renegotiated our militsry rebuilt NATO paying more regulations costing less.......and much more. This is why theyï¿½ï¿½ï¿½,12/16/2019 5:05
Chuck Schumer sat for years during the Obama Administration and watched as China ripped off the United States. He &amp; the Do Nothing Democrats did NOTHING as this $ carnage took place. Now without even seeing it he snipes at our GREAT new deal with China. Too bad Cryinï¿½ï¿½ï¿½ ,12/14/2019 19:09
We have agreed to a very large Phase One Deal with China. They have agreed to many structural changes and massive purchases of Agricultural Product Energy and Manufactured Goods plus much more. The 25% Tariffs will remain as is with 7 1/2% put on much of the remainder....,12/13/2019 15:25
The Wall Street Journal story on the China Deal is completely wrong especially their statement on Tariffs. Fake News. They should find a better leaker!,12/13/2019 14:06
Getting VERY close to a BIG DEAL with China. They want it and so do we!,12/12/2019 14:35
....Biden on the board of the largest natural gas company in Ukraine getting paid $83000 a month 10 times as much as a board member of @exxonmobil.ï¿½ï¿½ï¿½ Thank you Ted. He also  made a fortune from China and others but zero before his father became V.P. @MeetTh,12/8/2019 16:50
....with the U.S. Presidential Election in November. North Korea under the leadership of Kim Jong Un has tremendous economic potential but it must denuclearize as promised. NATO China Russia Japan and the entire world is unified on this issue!,12/8/2019 15:17
Why is the World Bank loaning money to China? Can this be possible? China has plenty of money and if they donï¿½ï¿½ï¿½t they create it.,12/7/2019 0:28
U.S. Markets are up as much as 21% since the announcement of Tariffs on 3/1/2018 - and the U.S. is taking in massive amounts of money (and giving some to our farmers who have been targeted by China)!,12/2/2019 11:11
Just finished a very good &amp; cordial meeting at the White House with Jay Powell of the Federal Reserve. Everything was discussed including interest rates negative interest low inflation easing Dollar strength &amp; its effect on manufacturing trade with China E.U. &amp; others etc.,11/18/2019 16:01
Just finished a very good &amp; cordial meeting at the White House with Jay Powell of the Federal Reserve. Everything was discused including interest rates negative interest low inflation easing Dollar strength &amp; its effect on manufacturing trade with China E.U. &amp; others etc.,11/18/2019 15:49
Our great Farmers will recieve another major round of ï¿½ï¿½ï¿½cashï¿½ï¿½ï¿½ compliments of China Tariffs prior to Thanksgiving. The smaller farms and farmers will be big beneficiaries. In the meantime and as you may have noticed China is starting to buy big again. Japan deal ,11/17/2019 16:08
....Ukrainian energy company and more millions taken from China and now reports of other companies and countries also giving him big money are certainly looking very corrupt (to put it mildly!) to me. Both Bidens should be forced to testify in this No Due Process Scam!,11/12/2019 11:25
....our manufacturers. We should have lower interest rates than Germany Japan and all others. We are now by far the biggest and strongest Country but the Fed puts us at a competitive disadvantage. China is not our problem the Federal Reserve is! We will win anyway.,10/31/2019 14:37
China and the USA are working on selecting a new site for signing of Phase One of Trade Agreement about 60% of total deal after APEC in Chile was canceled do to unrelated circumstances. The new location will be announced soon. President Xi and President Trump will do signing!,10/31/2019 13:24
A big scandal at @ABC News. They got caught using really gruesome FAKE footage of the Turks bombing in Syria. A real disgrace. Tomorrow they will ask softball questions to Sleepy Joe Bidenï¿½ï¿½ï¿½s son Hunter like why did Ukraine &amp; China pay you millions when you knew nothing? P,10/15/2019 0:21
....and Assad to protect the land of our enemy? Anyone who wants to assist Syria in protecting the Kurds is good with me whether it is Russia China or Napoleon Bonaparte. I hope they all do great we are 7000 miles away!,10/14/2019 19:10
CHINA HAS ALREADY BEGUN AGRICULTURAL PURCHASES FROM OUR GREAT PATRIOT FARMERS &amp; RANCHERS!,10/13/2019 21:50
My deal with China is that they will IMMEDIATELY start buying very large quantities of our Agricultural Product not wait until the deal is signed over the next 3 or 4 weeks. THEY HAVE ALREADY STARTED! Likewise financial services and other deal aspects start preparing....,10/13/2019 21:47
....I agreed not to increase Tariffs from 25% to 30% on October 15th. They will remain at 25%. The relationship with China is very good. We will finish out the large Phase One part of the deal then head directly into Phase Two. The Phase One Deal can be finalized &amp; signed soon!,10/13/2019 21:47
The deal I just made with China is by far the greatest and biggest deal ever made for our Great Patriot Farmers in the history of our Country. In fact there is a question as to whether or not this much product can be produced? Our farmers will figure it out. Thank you China!,10/12/2019 14:09
So funny to watch Steve Kerr grovel and pander when asked a simple question about China. He chocked and looks weak and pathetic. Donï¿½ï¿½ï¿½t want him at the White ,10/12/2019 3:25
RT @MariaBartiromo: USMCA passage China deal should be ï¿½ï¿½ï¿½a one-two punchï¿½ï¿½ï¿½: Rep. Tom Reed https://t.co/WcBsEjjir3 @MorningsMaria ,10/11/2019 15:32
One of the great things about the China Deal is the fact that for various reasons we do not have to go through the very long and politically complex Congressional Approval Process. When the deal is fully negotiated I sign it myself on behalf of our Country. Fast and Clean!,10/11/2019 14:15
Good things are happening at China Trade Talk Meeting. Warmer feelings than in recent past more like the Old Days. I will be meeting with the Vice Premier today. All would like to see something significant happen!,10/11/2019 13:49
Big day of negotiations with China. They want to make a deal but do I? I meet with the Vice Premier tomorrow at The White House.,10/10/2019 13:49
RT @ABCPolitics: President Trump criticizes Steve Kerr and Gregg Popovich ï¿½ï¿½ï¿½ both vocal critics of Trump ï¿½ï¿½ï¿½ when asked about China p,10/10/2019 1:35
I was elected on getting out of these ridiculous endless wars where our great Military functions as a policing operation to the benefit of people who donï¿½ï¿½ï¿½t even like the USA. The two most unhappy countries at this move are Russia &amp; China because they love seeing us bogge,10/7/2019 15:20
.@60Minutes ï¿½ï¿½ï¿½forgotï¿½ï¿½ï¿½ to report that we are helping the great farmers of the USA to the tune of 28 Billion Dollars for the last two years paid for out of Tariffs paid to the United States by China for targeting the farmer. They devalued their currency therefore payi,10/6/2019 23:54
....And by the way I would LOVE running against 1% Joe Biden - I just donï¿½ï¿½ï¿½t think itï¿½ï¿½ï¿½s going to happen. Sleepy Joe wonï¿½ï¿½ï¿½t get to the starting gate &amp; based on all of the money he &amp; his family probably ï¿½ï¿½ï¿½extortedï¿½ï¿½ï¿½ Joe should hang it up. I wouldnï¿½ï¿½ï¿½t ,10/6/2019 16:42
....and separately got 1.5 Billion Dollars from China despite no experience and for no apparent reason. There is NO WAY these can be legitimate transactions? As lawyers &amp; others have stated as President I have an OBLIGATION to look into possible or probable CORRUPTION!,10/6/2019 14:58
Somebody please wake up Mitt Romney and tell him that my conversation with the Ukrainian President was a congenial and very appropriate one and my statement on China pertained to corruption not politics. If Mitt worked this hard on Obama he could have won. Sadly he choked!,10/5/2019 14:06
RT @DeFede: This morning in the Florida Keys @marcorubio was asked about the President calling on China to investigate @JoeBiden - see hisï¿½,10/5/2019 2:02
Congratulations to President Xi and the Chinese people on the 70th Anniversary of the Peopleï¿½ï¿½ï¿½s Republic of ,10/1/2019 10:54
The Fake News Media wants to stay as far away as possible from the Ukraine and China deals made by the Bidens. A Corrupt Media is so bad for our Country! In actuality the Media may be even more Corrupt than the Bidens which is hard to do!,9/30/2019 14:03
....place in TRADE itï¿½ï¿½ï¿½s taking shape in Military Competition.ï¿½ï¿½ï¿½ Johnathan Ward author and China expert. We are winning and we will win. They should not have broken the deal we had with them. Happy Bir,9/30/2019 12:31
ýýýChina Trade Turmoil: China Urging a CALM AND RATIONAL Solution.ýýý @MariaBartiromo @FoxBusiness China is doing very poorly while the USA under your favorite Presidentýýýs leadership continues to soar to new heights - and despite the Do Nothing Democrats we have just begun!,9/30/2019 11:48
The President of Ukraine said that he was NOT pressured by me to do anything wrong. Canï¿½ï¿½ï¿½t have better testimony than that! As V.P. Biden had his son on the other hand take out millions of dollars by strong arming the Ukrainian President. Also looted millions from China,9/26/2019 23:02
....taken out of Ukraine and China. Additionally I demand transparency from Democrats that went to Ukraine and attempted to force the new President to do things that they wanted under the form of political threat.,9/25/2019 20:17
ýýýThe real story involves Hunter Biden going around the world and collecting large payments from foreign governments and foreign oligarchs.ýýý Peter Schweizer  Laura Ingraham Hunter made a fortune in Ukraine and in China. He knew nothing about Energy or anything else.,9/22/2019 13:39
Producer prices in China shrank most in 3 years due to Chinaï¿½ï¿½ï¿½s big devaluation of their currency coupled with monetary stimulus. Federal Reserve not watching? Will Fed ever get into the game? Dollar strongest EVER! Really bad for exports. No Inflation...Highest Interest Ra,9/16/2019 11:47
It is expected that China will be buying large amounts of our agricultural products!,9/12/2019 12:45
At the request of the Vice Premier of China Liu He and due to the fact that the People's Republic of China will be celebrating their 70th Anniversary....,9/11/2019 23:17
RT @MariaBartiromo: China is moving to develop a more level playing field: Sen. Perdue https://t.co/97UZWyhiJu  @MorningsMaria @FoxBusiness,9/11/2019 11:07
ýýýChina suspends Tariffs on some U.S. products. Being hit very hard supply chains breaking up as many companies move or look to move to other countries. Much more expensive to China than originally thought.ýýý @CNBC  @JoeSquawk,9/11/2019 10:14
China just enacted a major stimulus plan. With all the Tariffs THEY are paying to the USA Billions and Billions of Dollars they need it! In the meantime our Federal Reserve sits back and does NOTHING!,9/7/2019 3:05
ýýýChina is eating the Tariffs.ýýý Billions pouring into USA. Targeted Patriot Farmers getting massive Dollars from the incoming Tariffs! Good Jobs Numbers No Inflation(Fed). China having worst year in decades. Talks happening good for all!,9/6/2019 15:14
1. Which country has the largest carbon emission reduction?AMERICA!2. Who has dumped the most carbon into the air?   CHINA!3. 91% of the worldï¿½ï¿½ï¿½s population are exposed to air pollution above the World Health Organizationï¿½ï¿½ï¿½s suggested level.   NONE ARE IN,9/4/2019 21:08
....Trump is doing to China is not lost on the rest of the world. Europe has had among the most protectionist policies forever. Theyï¿½ï¿½ï¿½re sitting there and saying gee are we next? Maybe you are! Weï¿½ï¿½ï¿½ve got to change the rules. The U.S. canï¿½ï¿½ï¿½t defend the world ,9/4/2019 14:18
ýýýThe Chinese are very adept at not accepting anything. Youýýýve got to be very tough and thatýýýs what Trump is doing. Itýýýs in Chinaýýýs interest to correct and I think weýýýll end up with a solution thatýýýs dramatically better than we have today. Frankly I think the impact of what...,9/4/2019 14:18
ýýýU.S. Winning Trade War With China In Dollars.ýýý CNBC,9/4/2019 13:52
ýýýThe Chinese are very adept at not accepting anything. Youýýýve got to be very tough and thatýýýs what Trump is doing. Itýýýs in Chinaýýýs interest to correct and I think weýýýll end up with a solution thatýýýs dramatically better than we have today. Frankly I think the impact of what....,9/4/2019 13:44
....Trump is doing to China is not lost on the rest of the world. Europe has had among the most protectionist policies forever. Theyï¿½ï¿½ï¿½re sitting there and saying gee are we next? Maybe you are! Weï¿½ï¿½ï¿½ve got to change the rules. The U.S. canï¿½ï¿½ï¿½t defend the world and ,9/4/2019 13:44
For all of the ï¿½ï¿½ï¿½geniusesï¿½ï¿½ï¿½ out there many who have been in other administrations and ï¿½ï¿½ï¿½taken to the cleanersï¿½ï¿½ï¿½ by China that want me to get together with the EU and others to go after China Trade practices remember the EU &amp; all treat us VERY unfairly on ,9/3/2019 13:33
We are doing very well in our negotiations with China. While I am sure they would love to be dealing with a new administration so they could continue their practice of ï¿½ï¿½ï¿½ripoff USAï¿½ï¿½ï¿½($600 B/year)16 months PLUS is a long time to be hemorrhaging jobs and companies on a l,9/3/2019 13:12
....And then think what happens to China when I win. Deal would get MUCH TOUGHER! In the meantime Chinaï¿½ï¿½ï¿½s Supply Chain will crumble and businesses jobs and money will be,9/3/2019 13:12
....is about American Freedom. Redirect the supply chain. There is no reason to buy everything from China!,9/1/2019 12:25
Peter Morici Economist: Tariffs will not impact American consumers that much because the Chinese currency has gone down which gives our importers a discount. Importers can find suppliers outside of China. Absolutely worth it we donï¿½ï¿½ï¿½t want to be servants to the Chinese! T,9/1/2019 12:25
Just watched Congresswoman Debbie Dingell and many other Democrats wanting to give up on our very successful Trade battle with China which has had its worst Economic year in memory (and getting worse). We are taking in $Billions. Will be big for Farmers and ALL!,8/31/2019 18:29
General Motors which was once the Giant of Detroit is now one of the smallest auto manufacturers there. They moved major plants to China BEFORE I CAME INTO OFFICE. This was done despite the saving help given them by the USA. Now they should start moving back to America again?,8/30/2019 12:06
So interesting to read and see all of the free and interesting advice I am getting on China from people who have tried to handle it before and failed miserably - In fact they got taken to the cleaners. We are doing very well with China. This has never happened to them before!,8/28/2019 12:06
In France we are all laughing at how knowingly inaccurate the U.S. reporting of events and conversations at the G-7 is. These Leaders and many others are getting a major case study of Fake News at itï¿½ï¿½ï¿½s finest! Theyï¿½ï¿½ï¿½ve got it all wrong from Iran to China Tarif,8/25/2019 23:10
"RT @WhiteHouse: ""We have excess corn in various parts of our country with our farmers because China did not do what they said they were goiï¿½",8/25/2019 18:31
When I looked up to the sky and jokingly said ï¿½ï¿½ï¿½I am the chosen oneï¿½ï¿½ï¿½ at a press conference two days ago referring to taking on Trade with China little did I realize that the media would claim that I had a ï¿½ï¿½ï¿½Messiah complex.ï¿½ï¿½ï¿½ They knew I was kidding bein,8/24/2019 15:00
For all of the Fake News Reporters that donï¿½ï¿½ï¿½t have a clue as to what the law is relative to Presidential powers China etc. try looking at the Emergency Economic Powers Act of 1977. Case c,8/24/2019 3:58
RT @TreasurySpox: U.S. Treasury Designates China as a Currency Manipulator: https://t.co/7OnySGjzH1,8/24/2019 0:50
...unfair Trading Relationship. China should not have put new Tariffs on 75 BILLION DOLLARS of United States product (politically motivated!). Starting on October 1st the 250 BILLION DOLLARS of goods and products from China currently being taxed at 25% will be taxed at 30%...,8/23/2019 21:00
...Additionally the remaining 300 BILLION DOLLARS of goods and products from China that was being taxed from September 1st at 10% will now be taxed at 15%. Thank you for your attention to this matter!,8/23/2019 21:00
For many years China (and many other countries) has been taking advantage of the United States on Trade Intellectual Property Theft and much more. Our Country has been losing HUNDREDS OF BILLIONS OF DOLLARS a year to China with no end in sight....,8/23/2019 21:00
....Sadly past Administrations have allowed China to get so far ahead of Fair and Balanced Trade that it has become a great burden to the American Taxpayer. As President I can no longer allow this to happen! In the spirit of achieving Fair Trade we must Balance this very....,8/23/2019 21:00
....all deliveries of Fentanyl from China (or anywhere else!). Fentanyl kills 100000 Americans a year. President Xi said this would stop - it didnï¿½ï¿½ï¿½t. Our Economy because of our gains in the last 2 1/2 years is MUCH larger than that of China. We will keep it tha,8/23/2019 14:59
....better off without them. The vast amounts of money made and stolen by China from the United States year after year for decades will and must STOP. Our great American companies are hereby ordered to immediately start looking for an alternative to China including bringing..,8/23/2019 14:59
....your companies HOME and making your products in the USA. I will be responding to Chinaï¿½ï¿½ï¿½s Tariffs this afternoon. This is a GREAT opportunity for the United States. Also I am ordering all carriers including Fed Ex Amazon UPS and the Post Office to SEARCH FOR &amp; REFU,8/23/2019 14:59
Our Country has lost stupidly Trillions of Dollars with China over many years. They have stolen our Intellectual Property at a rate of Hundreds of Billions of Dollars a year &amp; they want to continue. I wonï¿½ï¿½ï¿½t let that happen! We donï¿½ï¿½ï¿½t need China and frankly woul,8/23/2019 14:59
Doing great with China and other Trade Deals. The only problem we have is Jay Powell and the Fed. Heï¿½ï¿½ï¿½s like a golfer who canï¿½ï¿½ï¿½t putt has no touch. Big U.S. growth if he does the right thing BIG CUT - but donï¿½ï¿½ï¿½t count on him! So far he has called it wrong and on,8/21/2019 12:52
Our economy is the best in the world by far. Lowest unemployment ever within almost all categories. Poised for big growth after trade deals are completed. Import prices down China eating Tariffs. Helping targeted Farmers from big Tariff money coming in. Great future for USA!,8/18/2019 19:24
We are doing very well with China and talking!,8/18/2019 18:27
ýýýIf they donýýýt get this Trade Deal with the U.S. done China could have it first recession (or worse!) in years. Thereýýýs disinvestment in China right now. Also the Fed is too tight (I agree).ýýý Steve Moore Heritage Foundation,8/15/2019 20:14
Biden doesnï¿½ï¿½ï¿½t have a clue! I will solve the China problem. https://t.co/v0sA,8/15/2019 19:29
The Fake News Media is doing everything they can to crash the economy because they think that will be bad for me and my re-election. The problem they have is that the economy is way too strong and we will soon be winning big on Trade and everyone knows that including China!,8/15/2019 16:52
RT @realDonaldTrump: Good things were stated on the call with China the other day. They are eating the Tariffs with the devaluation of theiï¿½,8/15/2019 13:59
RT @realDonaldTrump: ..deferral to December. It actually helps China more than us but will be reciprocated. Millions of jobs are being losï¿½,8/15/2019 13:59
I know President Xi of China very well. He is a great leader who very much has the respect of his people. He is also a good man in a ï¿½ï¿½ï¿½tough business.ï¿½ï¿½ï¿½ I have ZERO doubt that if President Xi wants to quickly and humanely solve the Hong Kong problem he can do it. Perso,8/14/2019 22:59
Good things were stated on the call with China the other day. They are eating the Tariffs with the devaluation of their currency and ï¿½ï¿½ï¿½pouringï¿½ï¿½ï¿½ money into their system. The American consumer is fine with or without the September date but much good will come from th,8/14/2019 22:32
..deferral to December. It actually helps China more than us but will be reciprocated. Millions of jobs are being lost in China to other non-Tariffed countries. Thousands of companies are leaving. Of course China wants to make a deal. Let them work humanely with Hong Kong first!,8/14/2019 22:32
We are winning big time against China. Companies &amp; jobs are fleeing. Prices to us have not gone up and in some cases have come down. China is not our problem though Hong Kong is not helping. Our problem is with the Fed. Raised too much &amp; too fast. Now too slow to cut....,8/14/2019 19:21
As usual China said they were going to be buying ï¿½ï¿½ï¿½bigï¿½ï¿½ï¿½ from our great American Farmers. So far they have not done what they said. Maybe this will b,8/13/2019 14:10
Through massive devaluation of their currency and pumping vast sums of money into their system the tens of billions of dollars that the U.S. is receiving is a gift from China. Prices not up no inflation. Farmers getting more than China would be spending. Fake News wonï¿½ï¿½ï¿½t r,8/13/2019 12:49
China wants to make a deal so badly. Thousands of companies are leaving because of the Tariffs they must stem the flow. At the same time China may be hoping for a Democrat to win so they could continue the great ripoff of America &amp; the theft of hundreds of Billions of $ï¿½ï¿,8/10/2019 21:58
Watching Sleepy Joe Biden making a speech. Sooo Boring! The LameStream Media will die in the ratings and clicks with this guy. It will be over for them not to mention the fact that our Country will do poorly with him. It will be one big crash but at least China will be happy!,8/7/2019 19:01
ýýýThree more Central Banks cut rates.ýýý Our problem is not China - We are stronger than ever money is pouring into the U.S. while China is losing companies by the thousands to other countries and their currency is under siege - Our problem is a Federal Reserve that is too.....,8/7/2019 12:46
.@sundarpichai of Google was in the Oval Office working very hard to explain how much he liked me what a great job the Administration is doing that Google was not involved with Chinaï¿½ï¿½ï¿½s military that they didnï¿½ï¿½ï¿½t help Crooked Hillary over me in the 2016 Election &amp; ,8/6/2019 17:51
As they have learned in the last two years our great American Farmers know that China will not be able to hurt them in that their President has stood with them and done what no other president would do - And Iï¿½ï¿½ï¿½ll do it again next year if nece,8/6/2019 12:36
Massive amounts of money from China and other parts of the world is pouring into the United States for reasons of safety investment and interest rates! We are in a very strong position. Companies are also coming to the U.S. in big numbers. A beautiful thing to watch!,8/6/2019 12:00
@sundarpichai of Google was in the Oval Office working very hard to explain how much he liked me what a great job the Administration is doing that Google was not involved with Chinaï¿½ï¿½ï¿½s military that they didnï¿½ï¿½ï¿½t help Crooked Hillary over me in the 2016 Election and ,8/6/2019 11:47
China is intent on continuing to receive the hundreds of Billions of Dollars they have been taking from the U.S. with unfair trade practices and currency manipulation. So one-sided it should have been stopped many years ago!,8/5/2019 16:00
Based on the historic currency manipulation by China it is now even more obvious to everyone that Americans are not paying for the Tariffs ï¿½ï¿½ï¿½ they are being paid for compliments of China and the U.S. is taking in tens of Billions of Dollars! China has alwa,8/5/2019 15:58
China dropped the price of their currency to an almost a historic low. Itï¿½ï¿½ï¿½s called ï¿½ï¿½ï¿½currency manipulation.ï¿½ï¿½ï¿½ Are you listening Federal Reserve? This is a major violation which will greatly weake,8/5/2019 12:12
Things are going along very well with China. They are paying us Tens of Billions of Dollars made possible by their monetary devaluations and pumping in massive amounts of cash to keep their system going. So far our consumer is paying nothing - and no inflation. No help from Fed!,8/3/2019 12:46
...We look forward to continuing our positive dialogue with China on a comprehensive Trade Deal and feel that the future between our two countries will be a very bright one!,8/1/2019 17:26
...during the talks the U.S. will start on September 1st putting a small additional Tariff of 10% on the remaining 300 Billion Dollars of goods and products coming from China into our Country. This does not include the 250 Billion Dollars already Tariffed at 25%...,8/1/2019 17:26
Our representatives have just returned from China where they had constructive talks having to do with a future Trade Deal. We thought we had a deal with China three months ago but sadly China decided to re-negotiate the deal prior to signing. More recently China agreed to...,8/1/2019 17:26
China Iran &amp; other foreign countries are looking at the Democrat Candidates and ï¿½ï¿½ï¿½droolingï¿½ï¿½ï¿½ over the small prospect that they could be dealing with them in the not too distant future. They would be able to rip off our beloved USA like never before. With President T,8/1/2019 14:24
What the Market wanted to hear from Jay Powell and the Federal Reserve was that this was the beginning of a lengthy and aggressive rate-cutting cycle which would keep pace with China The European Union and other countries around the world....,7/31/2019 20:41
China has lost 5 million jobs and two million manufacturing jobs due to the Trump Tariffs. Trumps got China back on its heels and the United States is doing great. @AndyPuzder @MariaBartiromo,7/30/2019 12:40
China is doing very badly worst year in 27 - was supposed to start buying our agricultural product now - no signs that they are doing so. That is the problem with China they just donï¿½ï¿½ï¿½t come through. Our Economy has become MUCH larger than the Chinese Economy is last 3 yea,7/30/2019 11:09
....countries that know how to play the game against the U.S. Thatï¿½ï¿½ï¿½s actually why the E.U. was formed....and for China until now the U.S. has been ï¿½ï¿½ï¿½easy pickens.ï¿½ï¿½ï¿½ The Fed has made all of the wrong moves. A small rate cut is not enough but w,7/29/2019 13:18
The E.U. and China will further lower interest rates and pump money into their systems making it much easier for their manufacturers to sell product. In the meantime and with very low inflation our Fed does nothing - and probably will do very little by comparison. Too bad!,7/29/2019 11:48
Apple will not be given Tariff waiver or relief for Mac Pro parts that are made in China. Make them in the USA no Tariffs!,7/26/2019 15:25
Apple will not be given Tariff wavers or relief for Mac Pro parts that are made in China. Make them in the USA no Tariffs!,7/26/2019 14:08
There may or may not be National Security concerns with regard to Google and their relationship with China. If there is a problem we will find out about it. I sincerely hope there is not!!!,7/26/2019 14:02
Farmers are starting to do great again after 15 years of a downward spiral. The 16 Billion Dollar China ï¿½ï¿½ï¿½replacementï¿½ï¿½ï¿½ money didnï¿½ï¿½,7/23/2019 11:54
....with the U.S. and wishes it had not broken the original deal in the first place. In the meantime we are receiving Billions of Dollars in Tariffs from China with possibly much more to come. These Tariffs are paid for by China devaluing &amp; pumping not by the U.S. taxpayer!,7/15/2019 10:43
